"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.402137500E-2,-1.677265316E-1,-1.157083064E-1,-3.853168339E-2
2.405837500E-2,-2.099685222E-1,-1.819954365E-1,-5.502437428E-2
3.409537500E-2,-2.205665112E-1,-2.296312600E-1,-7.677844167E-2
4.413237500E-2,-2.100054771E-1,-2.487293333E-1,-9.505970776E-2
5.416937500E-2,-1.763688028E-1,-2.320103496E-1,-1.148031652E-1
6.420637500E-2,-1.285533458E-1,-1.938046366E-1,-1.278398782E-1
7.424237500E-2,-7.960596681E-2,-1.366630644E-1,-1.238924563E-1
8.427937500E-2,-5.595176667E-2,-3.645949438E-2,-1.328159124E-1
9.431637500E-2,-8.313148469E-2,7.999515533E-2,-1.545080841E-1
1.043533750E-1,-1.569148898E-1,1.875570416E-1,-1.793830693E-1
1.143903750E-1,-2.433068156E-1,2.665382922E-1,-1.925642490E-1
1.244273750E-1,-3.061808646E-1,2.952343822E-1,-1.911069751E-1
1.344643750E-1,-3.343983293E-1,2.457486689E-1,-1.750510037E-1
1.445013750E-1,-3.227789700E-1,1.257961690E-1,-1.646923721E-1
1.545373750E-1,-2.719000280E-1,-4.527012818E-3,-1.275842637E-1
1.645743750E-1,-1.995666921E-1,-1.310556680E-1,-4.836321250E-2
1.746113750E-1,-1.243058220E-1,-2.289185077E-1,7.008950412E-2
1.846483750E-1,-4.345545173E-2,-2.554944456E-1,2.113004178E-1
1.946853750E-1,5.629924685E-2,-2.600999177E-1,3.366732299E-1
2.047223750E-1,1.743430644E-1,-2.726244926E-1,4.201196730E-1
2.147593750E-1,2.967040539E-1,-2.717648745E-1,4.592815340E-1
2.247963750E-1,4.038651288E-1,-2.487101406E-1,4.479114413E-1
2.348323750E-1,4.359073639E-1,-2.053587139E-1,4.139098525E-1
2.448693750E-1,3.527264595E-1,-1.324746460E-1,4.061003923E-1
2.549063750E-1,1.652169675E-1,-1.058253422E-1,4.476321936E-1
2.649433750E-1,-9.074556828E-2,-1.651640385E-1,4.154382944E-1
2.749803750E-1,-3.585443795E-1,-2.409998626E-1,2.923479080E-1
2.850173750E-1,-6.189436913E-1,-3.219186664E-1,7.685396820E-2
2.950543750E-1,-8.444938064E-1,-3.904468715E-1,-1.930997521E-1
3.050913750E-1,-9.494002461E-1,-3.686483800E-1,-3.723827004E-1
3.151273750E-1,-9.358417392E-1,-2.668981552E-1,-4.557343721E-1
3.251643750E-1,-7.793346643E-1,-9.583642334E-2,-4.691689312E-1
3.352013750E-1,-5.621015429E-1,-1.374095445E-3,-4.803610444E-1
3.452383750E-1,-3.220082521E-1,8.809027821E-2,-5.092995167E-1
